question_id,question_intent,question_text,gold_chunk_id,retrieved_chunk_ids_dense,rank_of_first_relevant_dense,retrieved_in_top_k_dense,retrieval_score_dense,retrieved_chunk_ids_sparse,rank_of_first_relevant_sparse,retrieved_in_top_k_sparse,retrieval_score_sparse,retrieved_chunk_ids_hybrid,rank_of_first_relevant_hybrid,retrieved_in_top_k_hybrid,delta_de_hy_rank
1,definition,What architectural components are removed in the Transformer model?,0,296|202|207|210|190|5|33|297|323|35|203|337|25|140|288|107|197|24|93|30|298|327|146|314|308|291|282|7|20|28|84|275|315|26|66|332|215|50|310|299|285|209,,False,0.7695078407842297|0.7362749533226446|0.731065586507163|0.7249225689523631|0.7234884047969481|0.7222664596127|0.7207813655351347|0.7192936713011953|0.717316831262917|0.7166123550625318|0.7149489999803583|0.7137290066529415|0.7108227425427968|0.7108201993146831|0.7105565445248169|0.7093420332885454|0.7082181978281302|0.7078605713711735|0.7077305524159233|0.7076265649279982|0.7074036220360236|0.7064516894941335|0.705795949083385|0.7041977692391015|0.7036597932368454|0.7030266968094356|0.7030220873447357|0.7017974897905364|0.7014330347255712|0.6986028924620898|0.6981947686553243|0.6970617342630977|0.6970069063264914|0.6967479850065428|0.6959262779868453|0.695905335156433|0.6956186194569526|0.6950034349076011|0.6948421708572675|0.6935473412100557|0.6935295563924666|0.6935238769521697,211|285|59|213|165|125|82|57|115|116|266|58|83|138|157|270|104|212|159|210|50|81|86|77|92|134|60|182|101|73|108|281|93|112|107|6|91|143|124|51|24|98,,False,13.742731369061548|9.132528115220524|8.858191451172297|8.458615177796347|7.244779482774444|6.721536386097769|6.591250775606432|6.505963441996667|6.485252550396401|6.407939551128647|6.335187841266615|6.160858787462273|6.086019509088025|5.892858514818542|5.836482536617892|5.826632730143951|5.815572643174152|5.7180976323486465|5.699315593863201|5.695250055097588|5.671606152040619|5.670609875078224|5.648477620423006|5.628781820687541|5.628755662622118|5.4754097713420595|5.3634877244157275|5.270796961778345|5.233567706025312|5.227508661636321|5.223174362496993|5.1617442879145585|5.006054010020147|4.970273258604074|4.925980529701741|4.915250758863307|4.851281161450746|4.606891859693993|4.460799848922239|4.392852794945908|4.386671119141657|4.248792418968369,210|285|211|59|213|165|125|82|57|115|116|266|58|83|138|157|270|104|212|159|296|202|207|190|5|33|297|323|35|203|337|25|140|288|107|197|24|93|30,,False,
2,mechanism,What aspect of recurrent neural networks prevents parallelization during training?,4,203|5|296|28|190|337|297|92|323|140|7|288|66|210|327|124|199|282|285|310|204|17|314|19|197|289|278|209|108|25|6|275|131|202|280|205|313|268|107|267|303|42,,False,0.8195241709647623|0.8061920689875837|0.8030077184220685|0.7968589532284035|0.7952707986630636|0.7950102598384021|0.7942618172151723|0.7932568537773076|0.7913076541488846|0.789798869519066|0.7864305439049283|0.7853809560094006|0.7850257220687721|0.7834488244111179|0.7820470393776103|0.7820417067575189|0.7815587121954255|0.7800031272640608|0.77901554170413|0.7781324875791522|0.7776965266675598|0.7758728510372158|0.7753981309253427|0.7750984652404618|0.7735072437934756|0.7730756986979959|0.7726058947264801|0.7725761199865167|0.7719921648201752|0.7715649807102142|0.771501858902369|0.771353307073469|0.770071803523393|0.7700234269849255|0.7693404663955384|0.7689068299178297|0.7685634879721162|0.7676553887166824|0.7671949379309776|0.7671483999842652|0.766985998802849|0.7669158627945052,222|41|32|223|82|36|47|323|125|285|43|135|165|175|114|39|106|104|134|83|214|130|20|117|57|132|227|18|19|158|278|155|37|231|321|335|29|225|16|221|236|120,,False,11.208433795256274|10.7394317883423|10.652242188107333|9.303466199996047|8.494089473041669|8.078672993638852|8.071867832315716|7.6847658436023|7.008436307940487|6.984049406569078|6.915279735971561|6.844093975307008|6.5210895366681685|6.441763012479715|5.7852919577386395|5.761874237215248|5.431281134990073|5.368834464959416|5.219716403265979|5.180073844144323|5.092126760775753|5.049134879379426|5.010460659497319|5.009069132412763|4.976637738368496|4.891048563061436|4.885908809541313|4.872108446553643|4.872108446553643|4.85477697860852|4.694626597769371|4.666759807506889|4.552187621697391|4.500508701897054|4.384859997299824|4.348069934400817|4.313221643275566|4.0516283462711815|4.009216090251904|3.9554506079912772|3.907480098441833|3.849845256400615,323|285|222|41|32|223|82|36|47|125|43|135|165|175|114|39|106|104|134|83|203|5|296|28|190|337|297|92|140|7|288|66|210|327|124|199|282|310,,False,
3,capability,What capability do attention mechanisms provide for modeling dependencies in sequences?,4,210|5|323|203|337|7|140|297|296|314|199|288|197|124|204|190|282|107|278|308|303|24|289|280|310|30|275|327|313|20|92|6|17|108|19|209|202|12|264|58|28|9,,False,0.8268981392927965|0.826767185417415|0.8197330446650622|0.8183465531849582|0.8162493123293867|0.8149459132787317|0.8149020872912939|0.8103040112074734|0.8070304051224773|0.8046921939040421|0.8044618610578161|0.8032018561387793|0.8028639672797788|0.8013314152756154|0.8003808999903407|0.799566170571442|0.799548547125217|0.7991882148980493|0.7980743955281971|0.7967474713758289|0.7964026127518389|0.796228286250186|0.7951716076476635|0.7950212326278417|0.794302551560579|0.7942447917827548|0.7941613141673595|0.7940157423717605|0.7938976421503986|0.7938434088368208|0.793663145728604|0.7931387380897776|0.7928006679936361|0.7915048941321409|0.7906396974247101|0.7900496432023415|0.790012509836703|0.7899995836396405|0.7892418538310957|0.7890877903878741|0.78906302791589|0.7889842599953331,211|5|13|57|49|126|92|95|212|3|204|198|32|140|199|114|146|186|165|89|109|50|208|222|59|182|221|286|123|75|210|270|52|138|29|9|220|101|94|266|216|213,,False,12.513046298659164|11.481372657538573|10.031159681913694|9.353723501821023|9.030937767770835|8.474098102885515|7.3881054875509635|7.332698501763221|6.822059641304497|6.105222403126417|5.929638223327881|5.8668202944210295|5.8611954133533875|5.8312430892223865|5.725998775672087|5.526080152667191|5.299659845445591|5.268609743190087|5.1497537275684895|5.1397628699809985|5.116846009799071|5.061857045781556|5.013785755565592|5.013113511923008|4.879242018407343|4.842223198233951|4.695630710779917|4.633481628970023|4.6150758164218235|4.603117533380489|4.602044476567685|4.588201074704054|4.572213281101199|4.524676251156802|4.428002166173652|4.411689785949676|4.351978828577202|4.2784815099304145|4.266999606225267|4.260397561792604|4.260364258271478|4.240641744827453,5|140|199|204|92|211|13|57|49|126|95|212|3|198|32|114|146|186|165|89|210|323|203|337|7|297|296|314|288|197|124|190|282|107|278|308,,False,
5,comparative,How does the number of operations required to relate distant positions differ between convolutional models and the Transformer?,5,30|310|299|19|7|20|311|313|6|140|291|274|314|26|272|9|341|4|197|17|107|27|289|278|332|54|326|16|48|327|275|282|42|283|285|12|303|112|173|117|81|5,42,False,0.9561092213834856|0.9553845830208939|0.955307176262496|0.9545285593094337|0.9544816584597335|0.954136070044918|0.9540795708509472|0.9537648237288963|0.9529608253309465|0.9523507848274881|0.952126906565206|0.9521245038755427|0.9518549337450478|0.9508378368500819|0.9493447313611105|0.9490984602670598|0.9487269802235844|0.947544227454652|0.9461228931086738|0.9459770833593631|0.9459765658939255|0.9449496534208056|0.9448528985195129|0.9436420738092932|0.9435920169206138|0.9434367476738649|0.9427576978957989|0.942556797032418|0.9419249143032984|0.9419089166388066|0.9418209912892826|0.9417489509382015|0.94163872453362|0.9410595110979297|0.9408964446645689|0.9407217015768267|0.9404890277576274|0.9402614328010549|0.9401084877731934|0.9397061933955017|0.9392574073787114|0.9390617873678112,5|111|108|83|29|16|195|88|180|40|263|112|19|129|9|119|77|103|133|164|123|134|49|55|170|189|141|109|81|132|114|152|118|97|39|20|131|57|265|116|58|198,1,True,22.969562698958953|11.941950308282172|11.381813038607373|11.275821676172075|10.929667636624846|10.643111447551004|10.249366679512567|10.12528904412385|9.51444732498339|9.01499110644571|8.976992189914494|8.89164521040038|8.880545233467618|8.845426100357926|8.791121739593256|8.471986801557216|8.439380321389583|8.439178025121063|8.349663343234552|8.099150419807088|8.01707397184088|7.605582325836078|7.525085973474059|7.468288318017837|7.4361884689878535|7.346481388887893|7.052763185621198|6.9293236501280795|6.866789132076756|6.864865314770801|6.862173036019161|6.824838865582765|6.755138075467333|6.727871375855348|6.685078285564397|6.667087679298862|6.652385703002755|6.629067682472502|6.539294486171669|6.490144134216701|6.350568697563662|6.318741541736289,19|9|16|112|5|111|108|83|29|195|88|180|40|263|129|119|77|103|133|164|30|310|299|7|20|311|313|6|140|291|274|314|26|272|341|4|197|17,5,False,37
13,capability,What advantage does multi-head attention provide?,12,203|296|328|337|330|107|34|190|207|93|25|308|206|280|332|33|303|289|209|92|50|7|288|249|327|178|85|5|35|297|140|20|172|135|52|314|200|22|282|146|4|197,,False,0.68130220143444|0.6565906838407715|0.6413689946925155|0.6398175191779836|0.6380170716896753|0.6303634185839463|0.6281173170710053|0.6279595284384734|0.6279348579358728|0.6264035960090533|0.625402324735261|0.6234304554905459|0.6232280712416028|0.6232202475268215|0.6213111784686087|0.620248092199935|0.6184394745200182|0.6182082604633452|0.6149544831034938|0.612329408331994|0.6120369110897528|0.6120345367416831|0.6113535771209999|0.6092523550885299|0.6086919207938767|0.6085551809885952|0.607490162597823|0.6070255593807596|0.6056876291879308|0.605538961082236|0.6053606962886056|0.6045529394551172|0.6042836379075299|0.6040970326320263|0.6035262984594156|0.6031607701760181|0.6030141681210247|0.6017529214734839|0.6012807700817474|0.6010454964148854|0.5999467499817096|0.5999416084886043,10|5|12|94|9|2|93|112|211|29|114|216|212|78|287|57|66|198|27|91|165|92|285|132|85|123|16|106|18|208|13|266|186|0|136|138|59|89|104|72|124|270,3,True,12.799668896582151|11.515599091145322|10.783517311000598|9.616354335931241|8.632914371390806|8.431078225039855|7.779542667340289|6.976426078775236|6.439030166633792|6.383803792045029|6.266848748176331|5.658662822391875|5.451820896181974|5.37322714341259|5.304019807865524|5.122633886809935|5.102095967841004|4.900657983679575|4.836607290875938|4.627969056955827|4.451514554810259|4.069556194452689|4.024097708762268|3.981383200400328|3.897447585062272|3.8875680526438914|3.8837725191651122|3.659197466653129|3.5906622869372127|3.4738693585817066|3.452559891285782|3.423253738599702|3.3940739175887584|3.381616879821005|3.3371816331298385|3.3043249954981295|3.2605845113496406|3.255331653315552|3.2179869140205257|3.1648465670119665|3.1494115984458393|3.136045768566351,93|5|10|12|94|9|2|112|211|29|114|216|212|78|287|57|66|198|27|91|203|296|328|337|330|107|34|190|207|25|308|206|280|332|33|303|289|209|92,4,True,
19,mechanism,What technique is used to mitigate data sparsity in n-gram models?,38,296|202|207|210|190|288|33|323|5|93|327|107|35|30|297|24|203|337|308|140|197|146|25|7|314|58|282|73|84|332|315|298|291|20|268|26|66|275|92|313|200|6,,False,0.7511824750648798|0.7251778934952587|0.714872858586406|0.7107337364635973|0.7101678005112511|0.7081929120642086|0.7080791461889235|0.7071784777750048|0.7069396168856666|0.7038102712250777|0.7031919707648167|0.7010358316166255|0.7002169292427861|0.7000247261602162|0.6993076394982755|0.6993068007781775|0.698805633292646|0.696434338394896|0.696325219328358|0.695148032556776|0.6948880779778912|0.6934675685476475|0.6930439208163361|0.6926941333171115|0.6914313681031404|0.6906599682244787|0.6895520964895876|0.6889082641024951|0.6885305244250154|0.6881607401324664|0.6873304657767615|0.6871914857385006|0.6869942988874369|0.68663514208575|0.6861237107257169|0.685799814512857|0.6854737563235925|0.6850711180876636|0.6847186326685578|0.684007070478361|0.6837028017899348|0.6835353127692085,39|38|124|107|151|145|195|104|163|270|138|57|241|152|129|103|82|113|165|210|185|182|133|186|50|153|102|108|47|171|147|41|99|59|216|215|192|211|98|150|261|209,2,True,22.321123049725298|17.54199853466456|10.415469317143186|9.55818124118564|9.420389843875268|8.994574018622519|8.84122928760318|8.436550055306132|8.355706864624096|8.286004279951857|8.157544894857564|8.054050379301076|8.036036063106739|7.985748613189468|7.923978200190778|7.901500467813149|7.73630186842123|7.571787812610252|7.535300461382056|7.515271085807515|7.239711519214899|7.176256086298451|7.148423504605753|6.997670918951295|6.9843134860339475|6.925925929828807|6.876670752717083|6.667918668891926|6.5922146448295305|6.515981230992548|6.4416396727440715|6.4305880535565|6.390360365651208|6.309819114312592|6.24637569404629|6.230609673137375|6.216022624635013|6.2036114814741214|6.138362950300239|6.101387954536288|5.9631404718482|5.9160597970281,210|107|39|38|124|151|145|195|104|163|270|138|57|241|152|129|103|82|113|165|296|202|207|190|288|33|323|5|93|327|35|30|297|24|203|337|308|140,4,True,
21,principle,What property of embedding vectors enables semantic similarity computation?,40,296|203|190|5|35|323|288|33|140|337|202|297|66|7|210|83|28|93|197|314|199|327|146|280|207|310|209|285|282|30|275|215|25|299|178|278|19|73|58|332|12|6,,False,0.7872344415173526|0.7770352352956076|0.7757623571537918|0.7742209875078018|0.7647357225151096|0.764364117914841|0.7631275972426251|0.7606730971366419|0.7584833992565987|0.7565434581219371|0.7548832151720806|0.7531879004367742|0.75243088989725|0.7522260179224696|0.7517437969086843|0.7504837632729617|0.7503023031178493|0.748676554049151|0.7451069100224103|0.7443138018019407|0.7429008974034255|0.742510796312505|0.7423870720443236|0.7422047293118276|0.7412337474108275|0.7407451583130766|0.7401561690732441|0.7399767729304405|0.7398790899440318|0.7397152422230687|0.7390717925362824|0.7385871727296033|0.7385294405008226|0.7376554700138096|0.7376112882810693|0.7375169671149554|0.7366936209264541|0.7361038630738|0.73609751953562|0.7358931645198441|0.7358592299482251|0.7355157075182683,40|270|51|271|39|269|192|152|54|3|27|139|165|33|265|122|130|223|94|141|330|285|327|104|138|241|173|74|34|182|68|211|155|112|64|57|180|82|111|210|262|66,1,True,18.618945885394172|12.05592662486618|12.02601719506217|10.853184849942863|10.643678470506135|10.328336612493196|9.676759270373967|8.069163439165791|7.091120058203263|6.105222403126417|5.827568297605904|5.145366653813387|5.058812310572231|5.031456779911757|5.031201280852735|4.990039139761307|4.806327842215089|4.672088423066386|4.644665697011106|4.581075825700093|4.5711280405334245|4.42499429548367|3.872196875674435|3.8365100373383703|3.771736254001379|3.723713180848483|3.7064836813030237|3.6958479663433654|3.6938243212776554|3.649422496121882|3.638023434317959|3.633514967508243|3.542488128014025|3.53253288883046|3.5170320613043744|3.5143605122725585|3.4778775512273192|3.4714682009592597|3.4313296710874086|3.4220358693847635|3.4073916646086246|3.3583592142640386,33|40|270|51|271|39|269|192|152|54|3|27|139|165|265|122|130|223|94|141|296|203|190|5|35|323|288|140|337|202|297|66|7|210|83|28|93|197|314,2,True,
22,comparative,What distinguishes pre-trained language models from early neural language models?,41,203|323|296|5|210|190|297|140|337|7|288|124|327|314|107|30|202|282|199|24|92|285|35|278|197|310|25|299|84|280|264|303|289|12|313|275|93|28|83|17|66|19,,False,0.8153413728431708|0.8037699223334901|0.8019478413225696|0.7978759473052656|0.7897308588079528|0.7875539293401795|0.7873002316075685|0.7850439074183972|0.7845732637115155|0.7814744360494175|0.7800885550629971|0.7740652307406312|0.7719187302551019|0.771291615882044|0.769933654330834|0.769259320356648|0.769148980792705|0.768685612681701|0.7685155764853828|0.7684653716947405|0.7677680774571479|0.7677391629501311|0.7673961160648737|0.7670793074876696|0.7663181068695578|0.7659842488219807|0.7654191012971329|0.7653245471919643|0.7651607227784911|0.7648874418881625|0.7646266274178326|0.7645377590891093|0.7642915327463105|0.7640415815602944|0.7640247502767665|0.7637803819513759|0.7628731793968532|0.762752484877917|0.7627171192869353|0.762619671895018|0.7624357735788103|0.7621985175989872,47|41|60|37|46|309|52|57|51|43|50|82|59|83|49|116|216|86|221|227|274|112|42|99|68|222|333|230|138|88|285|97|39|131|70|165|226|237|56|40|114|308,2,True,17.51348234508873|14.964199393111016|14.027506416041927|13.00212872670964|12.625423739650424|12.57474914285291|11.953396975632822|11.886336223003594|11.796572473737605|11.71308871684375|11.50126601052577|10.688577964511882|9.743051381644399|9.703296583412563|9.59945525856919|9.588605545295774|9.49919367406875|9.47073371569033|9.342455876947936|9.233543208835282|9.19194350113133|9.027120831846666|8.817532956212583|8.704525079173372|8.584308689155382|8.541049537103303|8.459480714315372|8.424472361028805|8.378011302705849|8.269678440289995|8.255627888960658|8.214553087722155|8.186832431053544|8.034218695672587|8.00356827467562|7.958387277097589|7.843092723395538|7.7749457020132935|7.74950773699563|7.6112038913067455|7.497032427726536|7.303897873623416,83|47|41|60|37|46|309|52|57|51|43|50|82|59|49|116|216|86|221|227|203|323|296|5|210|190|297|140|337|7|288|124|327|314|107|30|202|282|199|24,3,True,
23,process,What are the two stages of the pre-training and fine-tuning paradigm?,42,296|190|5|207|202|210|323|288|297|33|93|197|107|337|140|83|35|209|30|203|25|146|291|267|299|332|66|314|84|212|315|327|26|282|51|7|215|20|311|310|199|143,,False,0.7626200481906549|0.7303964237331155|0.7296920326099329|0.7286910382615718|0.7268148483192333|0.7255801112519292|0.7230167221450897|0.7226329078070998|0.7219643146858747|0.7190634491158371|0.7175561752698169|0.7154809309066901|0.7138075399455982|0.7137956740105188|0.7129608949797247|0.7123192123167805|0.711499748767784|0.7092971692386986|0.7088976855149359|0.7063742822951928|0.7063145795310667|0.7057125090876641|0.7052491469604475|0.7033471046482875|0.7028673671177029|0.7028365689801424|0.7023500518827863|0.7021261342281003|0.7015371853792257|0.7008899942067597|0.7007336526073366|0.7005789788693176|0.7005625997009758|0.6995252547772983|0.6990942691154618|0.6986216606799115|0.6986182463156025|0.6984827708083504|0.6980646813603301|0.6977395455540745|0.6976517597118541|0.6973660555438217,114|104|41|57|113|101|117|165|82|55|71|285|195|59|85|131|157|210|64|52|90|74|50|138|134|183|112|182|110|56|129|58|54|77|38|200|89|267|139|121|86|60,,False,17.103072923450405|16.934152053915337|15.408169462895902|14.210109780708642|13.66661605754802|13.306202712404588|12.324567926449724|11.973333763761444|11.594519936634326|11.527241995314135|11.482997454582907|10.437349404677878|10.162362353574444|10.102308733791139|9.941275351523842|9.786342389108626|9.75750060394662|9.650336651425889|9.563334810877134|9.399835112664324|9.346015086309393|9.19473327138677|9.1638973670065|9.104411590575776|9.002873891326377|8.940219297965651|8.719773335377822|8.645562731170038|8.643429955340629|8.568915240840523|8.413690321760004|8.279492914956453|8.269496275643649|8.269104534400896|8.262191600651407|8.015776399295563|8.003821813172811|7.995029769445123|7.99357566433981|7.964713232159722|7.890866512216487|7.489851947217575,210|114|104|41|57|113|101|117|165|82|55|71|285|195|59|85|131|157|64|52|296|190|5|207|202|323|288|297|33|93|197|107|337|140|83|35|209|30|203,,False,
24,definition,How are large language models defined in terms of scale and architecture?,42,296|203|190|5|35|337|202|33|288|297|25|210|140|215|66|83|7|30|178|93|124|285|332|197|310|314|28|280|323|282|113|327|209|187|278|146|299|120|107|92|9|186,,False,0.7823210786373846|0.765181272720233|0.7579108989646206|0.752610677200684|0.7517423370125701|0.7501328841284863|0.7500059920400379|0.7479747305352205|0.7437713842747414|0.7432502380142736|0.7427650060482062|0.7419268717850758|0.739767483189732|0.7360951175330855|0.7349822589427393|0.7348586420700526|0.7333247539529721|0.7326630731253212|0.7325846825791136|0.729968933086057|0.728623541069991|0.7281135983494837|0.7278463163623946|0.7276228508527101|0.7258737368857413|0.7254792152756498|0.7254231605727159|0.7254224163102527|0.7253311845228183|0.724901114132773|0.7233203746329271|0.723184510321067|0.7231814339872636|0.7231810816472832|0.7222377608622466|0.7221539769836892|0.7219414608522696|0.7204505261109218|0.7204430278991534|0.719945476557774|0.7195749406754369|0.7182356409952075,88|59|209|160|49|270|181|140|172|208|266|80|50|90|82|170|86|216|211|257|45|40|197|144|39|83|97|127|112|235|151|81|187|210|199|192|43|37|212|256|142|215,,False,13.885005175009889|13.504780862283788|11.394190234672253|11.171634633429333|10.696669188658138|10.612440328131008|10.488561466450523|10.402655411827913|10.294811507726322|10.286730193105202|10.278304031624433|9.920179906635447|9.612528245307509|9.435272386491604|9.383176611001986|9.295904130178883|9.285118711127888|9.046595312959669|9.046240196530798|8.90285794564991|8.709349079463571|8.635554461746949|8.582486413264798|8.462901952035626|8.454200405831042|8.364581845338265|8.150365569209663|7.964793507390034|7.870090588631845|7.191888662587553|7.181273084649739|7.169366823638657|7.156936526712055|7.1369093360468385|7.1147723417499975|7.001672839232755|6.989835282786698|6.954175542080408|6.88653658153626|6.80560896824342|6.7162717448108795|6.681232154452171,140|209|88|59|160|49|270|181|172|208|266|80|50|90|82|170|86|216|211|257|296|203|190|5|35|337|202|33|288|297|25|210|215|66|83|7|30|178|93,,False,
