question_id,question_intent,question_text,gold_chunk_id,retrieved_chunk_ids_dense,rank_of_first_relevant_dense,retrieved_in_top_k_dense,retrieval_score_dense,retrieved_chunk_ids_sparse,rank_of_first_relevant_sparse,retrieved_in_top_k_sparse,retrieval_score_sparse,retrieved_chunk_ids_hybrid,rank_of_first_relevant_hybrid,retrieved_in_top_k_hybrid,delta_de_hy_rank
1,definition,What architectural components are removed in the Transformer model?,1,56|630|276|130|232|61|609|618|536|54|178|17|488|565|627|491|291|1|364|83|591|182|62|31|84|571|561|263|138|20|149|241|59|580|15|257|226|616|581|49|327|163,18,False,0.7602908294384431|0.7529896251193519|0.7398320405472587|0.7341303311581954|0.7329459885861132|0.7303555835227514|0.7283163087016015|0.7282532825573558|0.727966756746343|0.7272478991480155|0.724326033785719|0.7239351029146993|0.7233358175093157|0.7225143211124282|0.7204382023003074|0.7182244868039456|0.7176509657561623|0.7166902621161999|0.7166140219076644|0.7154391457995443|0.7146705094726249|0.7135509048062983|0.7134654395495027|0.7131330389523199|0.7130690907805851|0.7125228658287309|0.7120793869018494|0.711494676123595|0.7108959634060948|0.7101813976459601|0.7091470357898152|0.7090630796671296|0.7089463378067105|0.7082740626376952|0.7071317290648539|0.7070104094639843|0.7068054932660732|0.7061981182540273|0.7061830297321668|0.7059037279301835|0.7052906714184943|0.7051434133530058,386|539|111|290|389|212|302|170|229|105|502|385|155|192|253|214|288|188|109|198|246|207|228|150|11|161|533|230|72|199|91|384|510|151|9|331|348|90|387|1|126|152,40,False,12.159387387759628|10.696567699417223|9.673176588394513|8.177248374857461|7.978706318407378|7.901160810617635|7.900668470774222|7.675073949137554|7.277285533672721|7.248851351298157|7.226492392120834|7.220758168977546|7.094970571930648|7.0049333725629745|6.946302268043167|6.933749356050691|6.77882655194736|6.3518538007587395|6.244717862791617|6.097747448275051|6.026270515830944|5.961396439559658|5.956131139212052|5.955318499723296|5.935298731760561|5.8843526113118365|5.877013523638058|5.826069979572225|5.8235098180454425|5.786519046967314|5.6629296094269925|5.606669546908401|5.555166434103935|5.453635521100944|5.4268287211129405|5.3772463147818215|5.33739993774196|5.313154242505922|5.271957766118082|5.259198921898618|5.239147407832198|5.217722340211324,386|539|111|290|389|212|302|170|229|105|502|385|155|192|253|214|288|188|109|198|56|630|276|130|232|61|609|618|536|54|178|17|488|565|627|491|291|1|364|83,38,False,-20
2,mechanism,What aspect of recurrent neural networks prevents parallelization during training?,6,630|536|61|56|130|54|276|17|232|565|62|581|1|291|84|49|518|15|572|123|109|561|545|386|182|527|31|616|552|627|591|629|83|570|357|241|557|221|105|204|586|517,,False,0.83297342132329|0.8206898778181945|0.8192366212654936|0.8176078318797133|0.8160092495312701|0.8086250400499023|0.8017486094218991|0.7979462691490022|0.797796105773635|0.7967775174646161|0.7960950445679219|0.7918234175006313|0.7908168883662571|0.7897818305740697|0.787956466449872|0.7879368779565574|0.787637804238756|0.7866536260190579|0.7863356720724093|0.7854501544161354|0.7853847219744278|0.7850879105172169|0.7845016877001104|0.7843096277211186|0.7827517314749731|0.7821448558282923|0.781948348377981|0.7818420588733617|0.7805396798738435|0.7804057415604482|0.7798586060600425|0.7792974978146129|0.7787951854478572|0.7785017302186902|0.7780801507351403|0.7773854566119304|0.7770681107867945|0.7757178533244115|0.7755556933921706|0.7747313636440714|0.7746003354491223|0.7744278364480567,74|408|56|410|152|82|76|83|230|247|302|539|607|70|231|239|197|192|36|283|210|34|242|290|417|215|319|32|426|528|52|289|62|604|207|63|391|105|608|331|386|437,,False,13.96008030912957|12.932002576009156|11.832704511679164|10.280097766013082|10.048581851151274|8.44953586241635|8.405189975409296|8.059920636837145|7.65934708980444|7.657772282001872|7.605855404250862|7.590243383641322|7.221242495133787|7.137693346305016|6.847234756401985|6.396214465012216|6.334302742593444|6.25636925561631|5.9034254862050375|5.78039655535507|5.696750946936101|5.696329696332183|5.681025452991664|5.580636125134987|5.34483713677335|5.33317136069774|5.215943704206574|5.1823895813336875|5.151893314949319|4.883072011331384|4.813045903234171|4.778739412647566|4.692699964791814|4.575677738969937|4.565574975455973|4.5655334419258695|4.525868098566409|4.516649130477371|4.405860496223241|4.403249125348994|4.390329691519503|4.377991445504749,56|83|74|408|410|152|82|76|230|247|302|539|607|70|231|239|197|192|36|283|630|536|61|130|54|276|17|232|565|62|581|1|291|84|49|518|15|572|123,,False,
3,capability,What capability do attention mechanisms provide for modeling dependencies in sequences?,7,630|130|56|536|61|17|54|276|232|581|15|627|62|495|109|386|49|565|31|24|518|557|572|616|308|1|545|552|53|561|517|48|527|89|586|219|204|123|224|609|87|353,,False,0.8619596996492105|0.8437841006618595|0.8343577507188064|0.8328465176145089|0.8291542023250523|0.8258637174967713|0.8240496793754828|0.8197423869501567|0.8183930659459504|0.8163478685579331|0.8163104050935738|0.8131315830970314|0.8126630523751291|0.811229816904177|0.8098681287386573|0.8089760825271431|0.8080164979104059|0.807784219940766|0.8058260111313277|0.8042877698867889|0.8040763196793208|0.8040251572934324|0.8035302429255362|0.8029091197053079|0.8018231823051297|0.8016725484699944|0.8015694319332854|0.8010403436520039|0.8006774358896256|0.8006142928763973|0.7999197082813644|0.7994122289105756|0.7988979367112199|0.798433878335146|0.7983232194852395|0.7977814150563642|0.7975094071489984|0.7971743932664112|0.7964664923680678|0.7955873666776759|0.7955657213830963|0.795533263416323,386|86|24|9|233|176|200|105|89|373|171|5|56|257|6|362|540|172|166|268|384|192|211|302|338|360|331|227|51|146|106|339|140|395|405|69|187|175|23|361|408|92,,False,13.384318632437978|11.006951244769162|10.033832431932051|9.464788727719364|9.321345526858046|8.777415562051647|7.810777049005668|7.649727081354367|7.361749252706518|7.326282968639141|7.176512918415119|6.814798692720127|6.732251262270905|6.605696206403586|6.547612169584413|6.463113475986947|6.419917766088927|6.188937513175592|6.175249230226752|6.076610807635557|5.965196826802483|5.871712353386164|5.839924676864726|5.756441394973317|5.702762741349329|5.683976387252901|5.614402342898133|5.5329858494604265|5.501488453530724|5.445197980949348|5.41883700688703|5.415654060783679|5.358924577730324|5.352531207940009|5.326162235897813|5.320793129601762|5.152516744782712|5.080810944720065|5.0503615700059274|4.982816052015096|4.971717265078937|4.899728150503986,56|386|24|89|86|9|233|176|200|105|373|171|5|257|6|362|540|172|166|268|630|130|536|61|17|54|276|232|581|15|627|62|495|109|49|565|31,,False,
5,comparative,How does the number of operations required to relate distant positions differ between convolutional models and the Transformer?,9,41|8|591|586|573|538|9|572|31|529|26|588|38|517|4|53|300|6|612|562|528|638|554|17|24|589|219|20|33|552|570|29|85|584|557|3|45|568|533|30|353|5,7,False,0.9617717302164898|0.9572609209215286|0.9571626388642207|0.9570894399398335|0.956623080895388|0.955028552427288|0.9546882790145969|0.9544602880858556|0.9542990940982304|0.9540087883024065|0.9538496548006732|0.9532897449692214|0.9530176321090543|0.952803356672926|0.9515045740036582|0.9514587497529866|0.9512979662166418|0.951275300421657|0.9510570581086449|0.9507371773390503|0.9502802380444791|0.9500488282579457|0.9499285095541216|0.948973327542275|0.9487104585911411|0.9485366936349904|0.9484923212917535|0.9483111317077723|0.948105259621145|0.9479317698187718|0.9478728933091438|0.9474612158729658|0.9474545400280189|0.9469352279405963|0.946926595566281|0.9467743948912645|0.9465189772401766|0.946486072202118|0.9461307076024613|0.946050318887778|0.9459347260653915|0.9457240380166152,9|245|204|52|357|155|200|29|240|226|237|496|205|34|16|310|242|246|87|278|190|102|164|206|70|165|1|178|217|327|259|144|180|154|390|75|304|395|151|243|141|216,1,True,25.400761443840963|13.526360247282804|13.119624782013089|12.901309068766643|12.443431667647753|12.117051179356439|11.27043796989079|11.237368067662498|10.697484501335733|10.66731923960997|10.616447400667822|10.60303284018806|10.495507083877945|10.264129927262202|10.06689531960463|9.771600546189783|9.115422947521118|9.065662403024039|8.936953778329881|8.795887892907098|8.681426672679482|8.610887451279323|8.549409083296755|8.261904709564721|8.171981371251759|8.170481999855216|8.142666467977422|8.07959419367727|7.973789561294387|7.912985550062963|7.893762605622161|7.857009129364371|7.844803400679747|7.827081405311496|7.8177930671467175|7.782699166128026|7.7649353012237645|7.616552097204184|7.613441805399812|7.605648847585619|7.579751835951511|7.5535008101497345,9|29|245|204|52|357|155|200|240|226|237|496|205|34|16|310|242|246|87|278|41|8|591|586|573|538|572|31|529|26|588|38|517|4|53|300|6|612|562,1,True,6
13,capability,What advantage does multi-head attention provide?,21,491|576|627|565|630|56|580|130|628|232|274|178|276|128|17|55|182|1|241|609|59|20|11|83|15|224|105|291|121|31|559|552|42|488|47|61|401|536|616|352|257|571,,False,0.6491354451609301|0.6456984878427579|0.6450968375967137|0.6437564234972033|0.6366482633902425|0.6363902197100131|0.6278136090425079|0.6271099190621742|0.625943747913446|0.6252731267257541|0.6246268198208986|0.6242704004673838|0.624010250016249|0.6231660662377463|0.6229038870587238|0.6206581574015739|0.6201941073426869|0.6198683182942845|0.6184945425170876|0.6183984512843798|0.6181089289795164|0.6181031049947258|0.6179757794938929|0.6175341544569795|0.6169974241552795|0.6150175743140252|0.6147818777224675|0.6145958988252833|0.6145030789298731|0.6132876738211781|0.6132587947029792|0.6131041687414657|0.611882949382355|0.6116763646092245|0.6114947563235662|0.611049310553311|0.6104449700932472|0.6103417337532866|0.6102499442702013|0.6101573119536166|0.6101517661747534|0.6101071891946774,10|17|174|175|4|22|173|15|51|18|206|395|210|105|386|396|631|542|390|302|90|48|159|168|171|539|243|226|242|29|250|228|348|32|388|20|152|340|197|510|166|192,,False,13.976823649561531|13.631155619716004|11.704360027010374|10.648916635202164|10.10832688799941|9.508566638589521|8.85871352309043|8.399822528664561|7.6515705387532424|7.542640437807933|7.219697161204829|6.982206824083178|6.608689139169908|6.507187688627714|6.325197838569531|6.125164242519346|5.566849536401218|5.407723054089909|5.112484209767137|5.052375617508856|5.043870893532215|4.940960621309564|4.803982635768838|4.7868961576709115|4.756603773505684|4.631613919347086|4.524241508221007|4.381090228864675|4.353540203134374|4.1999037597611055|3.9940346252558636|3.9090690791728355|3.775218019325497|3.735093144628335|3.6992186957517768|3.6869236628565902|3.6745610334619094|3.666971441007272|3.6502299127921938|3.6502299127921938|3.626218889821128|3.6025216890703224,17|15|105|10|174|175|4|22|173|51|18|206|395|210|386|396|631|542|390|302|491|576|627|565|630|56|580|130|628|232|274|178|276|128|55|182|1|241|609,,False,
19,mechanism,What technique is used to mitigate data sparsity in n-gram models?,68,56|630|276|130|61|565|491|609|17|232|83|536|178|1|627|618|114|364|291|580|571|54|182|257|229|561|161|555|591|62|20|84|31|49|224|572|250|509|105|488|59|263,,False,0.7390508040556053|0.7346657758775686|0.7274435465850727|0.7229449973416299|0.7216849074334446|0.7162830310767375|0.7154476314602866|0.715099784430094|0.7142007060599717|0.712440963213707|0.712100688793005|0.7099525077838899|0.7095282519893433|0.7086813553898997|0.7085158994225961|0.7069101585779313|0.7064354103996258|0.7061260068116961|0.7059445249153392|0.7043495531087471|0.7041256979500984|0.7024741806882858|0.7022019142669526|0.7021827171392094|0.7021507615208854|0.7020748695103765|0.701688606757633|0.7003480705111714|0.7001018868228497|0.6996079445850749|0.6994302601313996|0.6991773581194837|0.698804190903807|0.6987844609660996|0.6985647761420032|0.6960383804153405|0.6953000902723044|0.6952103549167217|0.6944640441161226|0.694377543904513|0.6941060401579247|0.6939479598991843,69|70|68|228|67|192|198|337|298|237|302|510|276|152|356|190|280|253|209|279|207|277|105|266|269|348|189|393|72|244|338|194|184|79|383|386|210|119|73|83|384|331,3,True,23.618125835031105|14.950733642871604|12.630590681724554|12.547370585124678|12.489711298575706|12.446798444871494|10.845410068920513|9.450806683100652|9.296878845580963|9.162394383318635|9.032838714843967|8.805551988663282|8.745753530819051|8.59956329440815|8.535499651837885|8.476662790235867|8.400004616785706|8.300061920198281|8.244482923741785|8.236417096392314|8.214297090517846|8.140286648991223|8.094013257595241|8.049258796681976|7.987929691510943|7.847611257655706|7.8081470302790645|7.788715812032173|7.7312992785125605|7.685439108899118|7.569256040813581|7.5672185661306255|7.483699711512404|7.4704870122745195|7.373832328878735|7.3345080411883155|7.290194785110087|7.281084462146938|7.16335870671276|7.111958773364369|6.921113082718681|6.886528010902614,276|69|70|68|228|67|192|198|337|298|237|302|510|152|356|190|280|253|209|279|56|630|130|61|565|491|609|17|232|83|536|178|1|627|618|114|364|291|580,4,True,
21,principle,What property of embedding vectors enables semantic similarity computation?,71,56|630|276|130|178|536|232|61|17|83|62|1|627|571|609|491|84|31|565|518|54|291|49|572|15|397|109|581|591|555|182|570|203|263|192|20|224|89|546|592|48|123,,False,0.8089090352816707|0.7996506396199441|0.7890547108581751|0.7830092419656495|0.7769371764085495|0.7760359997677423|0.7748221905646027|0.772596767116154|0.7716636443725217|0.7650714298674943|0.763627914726183|0.7631068487591475|0.7625742713571938|0.7606944138847013|0.760120762996694|0.7593463392739227|0.7583636083706283|0.758299278935501|0.7572172522748583|0.7566603811924193|0.7565306501637911|0.7563225483921333|0.7552417066242236|0.7550945885346064|0.7547771473362399|0.7546923045350075|0.7538175642316615|0.7530289841374156|0.7517568449394016|0.7515028147940447|0.7500661123006407|0.7494159669148571|0.749200622406053|0.7489716165175831|0.748855402445879|0.7486875679799511|0.7485877999442324|0.7482720537266472|0.747977206919755|0.7478980729609649|0.7459100010893983|0.7458988183225149,71|70|91|510|351|279|278|509|512|508|447|7|6|92|48|302|501|620|239|57|225|240|255|539|224|101|258|409|175|284|315|100|615|128|109|207|152|105|192|204|331|386,1,True,16.973087009473034|14.428415261183279|13.718155976925662|13.312992414017298|11.28312284817694|9.30086939141676|9.22779748985724|9.003970497498027|8.619678021099158|7.631192149678109|6.95484028282806|6.612425195513246|6.547612169584413|6.012532588432911|6.0041815115129005|5.88425570770818|5.790850262021822|5.597954040095907|5.517580473754639|5.474490721581438|5.455867752520897|5.410675181644133|5.38546156890024|5.275602560427199|5.128348176496138|5.125263757925978|5.059266359177293|4.992517248740458|4.968386941088742|4.940366825367223|4.892402039414569|4.876159927295234|4.792426422611255|4.612571351417335|4.597069379940617|4.565574975455973|4.537665472975789|4.516649130477371|4.456015445208049|4.456015445208049|4.403249125348994|4.390329691519503,48|71|70|91|510|351|279|278|509|512|508|447|7|6|92|302|501|620|239|57|56|630|276|130|178|536|232|61|17|83|62|1|627|571|609|491|84|31|565|518,2,True,
22,comparative,What distinguishes pre-trained language models from early neural language models?,73,630|56|61|536|130|232|17|276|581|1|565|49|54|15|229|62|123|291|572|31|627|84|109|241|570|386|87|518|89|338|24|495|591|545|527|83|364|616|561|105|552|629,,False,0.8289102198090167|0.8125023521085534|0.8101328149159789|0.8097711278577029|0.8085774857995792|0.7947519830156375|0.793804472518447|0.7931904356244738|0.7905376860002636|0.7880489636071882|0.7877203330058624|0.7861528011256832|0.7860706286177174|0.7843563889621644|0.7815985641488392|0.781024859212933|0.7807006023876655|0.7799520754974413|0.77967696690207|0.7780743633113771|0.7775925474646043|0.7765388429888936|0.776286900779254|0.7761059381335046|0.7755849530457427|0.775478804632148|0.7753844682401874|0.7746769281347433|0.773406941904465|0.7730311087085101|0.7728039592116843|0.772392128442663|0.77188725530497|0.77174137218685|0.7716725931548125|0.7716086249703659|0.7714992774677272|0.7711708677540129|0.7710398723580187|0.7703411650658735|0.7699435968554001|0.7698730975074788,87|82|65|582|417|111|112|81|76|73|396|160|90|127|207|92|91|516|183|154|539|131|426|405|302|155|72|70|132|104|106|625|158|83|228|213|288|179|440|165|381|168,10,False,19.522205916873695|18.568669431688537|16.07262076324507|15.332508764231818|14.868767305655977|14.847918479878404|14.703705836515951|14.54873838994006|14.304016387642093|13.133179067074618|12.594827179061108|11.555994488306464|11.263276808790925|11.239100848519254|11.051685903801465|10.889393543278638|10.334980893266575|10.302508208907039|10.293408009701928|10.125781512548022|10.11433305992739|9.950049835157536|9.84782878214935|9.792851833157524|9.545820534036503|9.447628446802788|9.446019517078813|9.415337991512908|9.316321572027423|9.287960548555025|9.052325029527626|8.933849070449467|8.699096294700432|8.666878349289357|8.589894390955287|8.586522823204138|8.37189072709103|8.267748667893285|8.21782867282327|8.16219330573355|8.048404411808441|7.997329895995102,87|82|65|582|417|111|112|81|76|73|396|160|90|127|207|92|91|516|183|154|630|56|61|536|130|232|17|276|581|1|565|49|54|15|229|62|123|291|572|31,10,False,
23,process,What are the two stages of the pre-training and fine-tuning paradigm?,74,56|630|232|276|130|536|178|17|609|1|83|84|15|291|627|145|571|62|31|20|491|61|182|54|581|591|488|618|565|49|572|555|10|149|263|323|616|327|386|561|570|124,,False,0.7667920303719222|0.7516934992129456|0.7452655942890802|0.7411356169467764|0.7374878858212857|0.7352052110287681|0.7345585506269523|0.73053713133733|0.7299443622881383|0.7240892629879038|0.7226022425082823|0.7221667274460007|0.7219998464294501|0.7205037550305543|0.7198756194334403|0.7181685954712923|0.7174432750754981|0.717343689736486|0.7173136227867384|0.7161204759441803|0.7159999726956986|0.7158565975574168|0.71532968245431|0.7147369126833856|0.7146160975678049|0.7146018321857813|0.7143757014649909|0.7137727651899838|0.7125674787680001|0.7119603576352452|0.7113082053201186|0.7107118390459501|0.7106692995345224|0.7099446954695401|0.7092125646174452|0.7090286150312877|0.7089525351400543|0.7087073917933907|0.7084856850670311|0.7070809336393905|0.7068114237958444|0.7067737131634794,74|209|210|211|132|187|193|215|356|152|88|102|539|106|384|302|288|207|253|87|247|92|364|240|363|255|168|167|246|111|103|68|137|155|331|101|109|192|223|252|237|160,1,True,17.577655258586702|16.492680431504333|16.05016828587127|15.875260126100738|15.274360628461912|14.528091339699348|13.880015327516942|13.623473242167954|12.778158945051322|12.758955399230492|12.657445288428613|12.33356464814661|12.236442696734809|11.502504171451863|11.40717727012915|11.246262217119794|10.943142849853162|10.810094010571266|10.809500794407974|10.73595062615085|10.60926679792245|10.492474598746277|10.47089949841807|10.454783723991653|10.261336755940945|10.249695863057685|10.241720905434633|10.111874982176898|9.908903643216712|9.741299623073155|9.684072380835511|9.682738667523706|9.41661945856039|9.414674621874058|9.253151181032832|9.243516377023088|9.190807198765254|9.174306478007923|8.95808308424276|8.936326136317192|8.823263772862626|8.776528184340446,74|209|210|211|132|187|193|215|356|152|88|102|539|106|384|302|288|207|253|87|56|630|232|276|130|536|178|17|609|1|83|84|15|291|627|145|571|62|31|20,1,True,
24,definition,How are large language models defined in terms of scale and architecture?,75,56|630|130|276|536|232|62|609|61|17|1|178|49|488|20|31|83|54|565|291|571|109|84|545|386|518|572|591|182|555|616|562|15|581|263|41|279|34|149|163|30|241,,False,0.7864432348823088|0.7802001563452402|0.7761322449883759|0.7688552228229303|0.7573307994825614|0.7561422258656508|0.7558139718919498|0.7516524418165365|0.7498458414943346|0.7495779797386837|0.7459622622531736|0.7458625043715802|0.7439947981014354|0.7405042596454154|0.7402364535017799|0.7395832724118118|0.7393054491876281|0.7384166161517475|0.7373419770067399|0.7368184378594806|0.7361442717980274|0.7355955708723091|0.735330094379832|0.7352434287568993|0.7350382631928124|0.734150080087277|0.733413740072739|0.7331004466206502|0.7322251639403099|0.7319098732528748|0.7312322278524188|0.730319165397324|0.7302304434039933|0.7299596623914137|0.7299415098793783|0.7297699841192017|0.7296425451484626|0.729590713629047|0.7295142934227005|0.7294075601860561|0.7293884818519373|0.7293793962919177,87|382|72|293|381|386|160|259|111|330|153|110|165|154|257|310|395|234|484|164|200|65|384|359|80|264|509|150|76|363|180|481|260|167|504|149|162|405|171|393|178|582,,False,15.692537851427486|14.36639856534088|12.467444384130307|12.28091215749473|12.039998606615644|11.760620065944863|11.562965547205666|11.407019455742967|11.395942260391035|11.388014963923734|11.28216580945087|10.859850746957013|10.766055452460987|10.6595993554457|10.326438051851094|10.257842677138447|10.254417392829096|10.222837429397517|10.069436003344746|9.919736830669539|9.699010019282571|9.557699821398238|9.515852647942129|9.387957963354152|9.303611815791564|9.190093088516873|9.1190487319951|9.057761259595395|8.918627297220334|8.912345945474236|8.802605367346247|8.707250761582591|8.528732997697396|8.485485673471981|8.25483996069585|8.014970775210358|7.997741208319935|7.887845640071522|7.842425183826038|7.69854974827996|7.697972917043356|7.651621542264388,386|87|382|72|293|381|160|259|111|330|153|110|165|154|257|310|395|234|484|164|56|630|130|276|536|232|62|609|61|17|1|178|49|488|20|31|83|54|565|291,,False,
