question_id,question_intent,question_text,gold_chunk_id,retrieved_chunk_ids_dense,rank_of_first_relevant_dense,retrieved_in_top_k_dense,retrieval_score_dense,retrieved_chunk_ids_sparse,rank_of_first_relevant_sparse,retrieved_in_top_k_sparse,retrieval_score_sparse,retrieved_chunk_ids_hybrid,rank_of_first_relevant_hybrid,retrieved_in_top_k_hybrid,delta_de_hy_rank
1,definition,What architectural components are removed in the Transformer model?,0,192|2|206|350|211|295|193|6|34|323|8|60|48|129|207|317|159|314|9|191|21|64|144|204|23|218|349|96|90|315|326|22|222|31|320|106|297|309|68|134|18|78,,False,0.7947307029451214|0.7492781825520941|0.7362749533226446|0.7318700449108682|0.731065586507163|0.7236185370182023|0.7234884047969481|0.7222664596127|0.7222040019024131|0.7193364573771777|0.7177525401759649|0.7177216391846805|0.7165100595866429|0.7152244005507401|0.7149489999803583|0.7149382076541203|0.7132145341820675|0.7127978015533798|0.7120666668946829|0.7113763345466896|0.7108339636172906|0.7095812348958226|0.7093818072515236|0.7085125143260295|0.7083306740002592|0.7082798973457981|0.70798496595711|0.7077305524159233|0.7062646315322423|0.7060869436580157|0.7060630270751959|0.7060483331002555|0.7048764498549642|0.7048063910945441|0.7035337361257|0.703034027936705|0.7021069371538993|0.7014045516244674|0.7011919994922577|0.7009003677846639|0.7008682383596838|0.7001200535870432,216|61|297|217|169|162|110|85|84|215|94|118|129|127|278|58|60|79|83|282|117|106|115|138|51|75|161|185|214|104|89|96|41|7|218|147|294|52|95|99|203|46,,False,12.04264247219949|9.500961401094003|8.578767870437495|8.04230651054563|7.52600662194362|6.9598810621255645|6.941218092947657|6.915304849069952|6.851034666226452|6.639444162165708|6.580260891195151|6.282047064428948|6.232565299214288|6.161729696388251|6.090717048194467|6.0194842083274365|5.974933259600591|5.93842107882777|5.871252511106918|5.8640379532711195|5.857296462524619|5.838099555359483|5.814511082114204|5.7346400477015305|5.705429866771214|5.58151204037774|5.571169846029318|5.479797212484425|5.478986377246398|5.3980520907251694|5.319987019243787|5.219604665303352|5.067556072017889|4.870307634686553|4.76782522857382|4.68699407418216|4.63380156934719|4.596383207425108|4.514842406989239|4.478795678904483|4.449043242027355|4.308494497489512,60|129|297|216|61|217|169|162|110|85|84|215|94|118|127|278|58|79|83|282|192|2|206|350|211|295|193|6|34|323|8|48|207|317|159|314|9|191,,False,
2,mechanism,What aspect of recurrent neural networks prevents parallelization during training?,4,192|2|350|207|34|48|6|31|60|28|323|193|8|23|297|315|298|204|78|110|22|326|349|134|202|21|295|20|129|13|314|5|309|208|19|18|221|30|320|191|307|106,,False,0.8738100383228533|0.827661943065891|0.8218443119125021|0.8195241709647623|0.8157590314283379|0.8142412049259591|0.8061920689875837|0.8008231356223637|0.8000036560676583|0.7968589532284035|0.7965353030253964|0.7952707986630636|0.7926435219376361|0.7912802361457757|0.7894403404070846|0.7879182361049171|0.7877922023473826|0.7869901622955|0.7856920975429506|0.7854229793376868|0.7852442090513818|0.7835444859387973|0.782603543209745|0.7822962914790299|0.7815587121954255|0.7815281277349746|0.7811201932549637|0.7808367347477917|0.7805772280558884|0.780486773680238|0.7801325746173783|0.7793486279972076|0.7780728720166252|0.7776965266675598|0.7776433493465346|0.7772190633249191|0.777152228831615|0.7770614122365567|0.7764132641055276|0.7762141625595922|0.7760263176350167|0.7745763268582254,42|31|228|229|84|129|334|48|44|139|297|169|116|40|58|119|162|227|35|109|138|134|106|219|136|158|178|19|21|232|18|85|37|36|290|346|29|237|332|115|47|17,,False,12.26221046836681|10.243208555229208|9.142072173039843|9.126813226200547|8.69934791112467|8.041487794882851|7.906711425295798|7.460661331006486|7.251478714871439|6.997148201113712|6.576369392058389|6.561029227900277|6.117268882231919|5.922861214555622|5.903052637342688|5.850655133225161|5.518454961265859|5.509883091859182|5.451522210544279|5.402929082308495|5.385429869960491|5.323135363785012|5.286748824114804|5.258856230195867|5.015326946599166|5.006406094297571|4.977673460972597|4.93023902544715|4.862064999493698|4.594657547005388|4.582284668214131|4.569422489873758|4.492942318598907|4.439633576302113|4.32021624073889|4.194716003256947|4.185130201132699|4.11488822318929|4.031379165580369|3.974639013798021|3.8504722422175814|3.8080687653017025,48|31|297|129|42|228|229|84|334|44|139|169|116|40|58|119|162|227|35|109|192|2|350|207|34|6|60|28|323|193|8|23|315|298|204|78|110,,False,
3,capability,What capability do attention mechanisms provide for modeling dependencies in sequences?,5,192|2|350|6|23|207|8|48|297|326|315|298|31|204|22|60|34|307|191|202|13|309|314|20|208|295|193|30|94|18|320|168|290|213|134|21|110|323|106|129|172|108,,False,0.8919423390073445|0.8503509719655385|0.8450257168467292|0.826767185417415|0.8186354459974368|0.8183465531849582|0.8175553793950335|0.814591257790203|0.813858807768445|0.8137663974625989|0.813604807526339|0.8127057019783542|0.8120279158490827|0.8102407570836679|0.8092878805681253|0.8085367067268037|0.8070002348495438|0.8060051367285149|0.8053852231877696|0.8044618610578161|0.8029324585906833|0.8024262949664932|0.8021420358819517|0.801206847698171|0.8003808999903407|0.7999850230385034|0.799566170571442|0.799465770109991|0.7984479486046651|0.7984065853287514|0.7983378500626235|0.798090627127803|0.7980743955281971|0.79694927913244|0.7967736611422107|0.7962007234907398|0.7959579405382355|0.7954654812245714|0.7953288814887285|0.794643810634404|0.7944000795576773|0.7943855223481713,6|216|58|297|14|97|130|95|49|214|217|4|208|144|202|117|111|228|169|126|51|92|77|185|150|189|106|201|110|61|212|53|10|31|13|104|221|88|142|164|226|29,,False,11.546510817420558|11.417910337559736|9.705222591384015|9.295435336895649|9.233990453357489|8.823840579283116|8.067899786868148|7.9260971942071325|7.680420662566124|6.926402927260005|6.879975026795774|6.103816027885131|6.048054252147012|6.008977405188898|5.855936387398167|5.814009888612051|5.6381252346100315|5.335301120739401|5.313595871996598|5.231663805379879|5.196893342428788|5.123846147617578|5.011202880932812|5.007229083441915|4.970500228611041|4.825962467880207|4.817986973913882|4.815013719195819|4.755714526793858|4.752128541944312|4.751666481342674|4.7347537658562135|4.596554158700124|4.584222202575597|4.533635004242766|4.448252513842983|4.447204792522945|4.433252789417788|4.420255909559321|4.376144662408598|4.349820884918569|4.328333158925132,6|297|202|208|216|58|14|97|130|95|49|214|217|4|144|117|111|228|169|126|192|2|350|23|207|8|48|326|315|298|31|204|22|60|34|307|191,,False,
5,comparative,How does the number of operations required to relate distant positions differ between convolutional models and the Transformer?,6,320|19|16|5|12|325|297|17|7|314|285|18|324|30|322|310|13|326|304|305|321|307|315|204|309|338|4|292|27|20|300|294|57|170|291|153|290|191|55|103|90|58,,False,0.9573460987878704|0.9563337452955714|0.9548644946719417|0.9546579656201425|0.9546327402539635|0.9537648237288963|0.9532025296916665|0.9531664263581575|0.9529608253309465|0.9525467277043086|0.9521245038755427|0.9516049076127981|0.9512987810032651|0.9509705989608912|0.9504066585309215|0.9503009191311674|0.9496248581626349|0.9487451948208283|0.9480315546844611|0.9477911778416324|0.9477448301587376|0.9472045859701651|0.9458858291974039|0.9457804936009095|0.9452079800072667|0.9451732802946804|0.9451484225438241|0.9450620835756002|0.9449496534208056|0.9448586577834358|0.9446373800610885|0.9444914433184751|0.9443734447226192|0.9440078114927279|0.9439314025385334|0.9436492348002569|0.9436420738092932|0.943605458585069|0.9434367476738649|0.9432149723883231|0.943162502797312|0.9428819662086803,6|113|111|29|91|17|85|198|183|40|275|126|133|122|79|137|10|19|216|50|138|86|174|20|56|105|61|83|145|155|94|129|118|136|191|167|277|135|100|218|60|120,1,True,23.26613209309335|12.905283474870718|12.105442990277503|10.983613631051274|10.498567809987232|10.354526763687083|10.298331837430078|10.274476792713656|10.162027306953036|9.078253153250957|8.862963571412939|8.851824049451215|8.71836261790152|8.710580389767912|8.68053379114319|8.57522605025416|8.528139545041254|7.972363137983912|7.898200722090657|7.8080603651811105|7.797256029209045|7.678484924215396|7.506467069008666|7.362027113969837|7.275005292821027|7.260606481876593|7.2521628647700815|7.229185852741608|7.218305396843081|7.217297093873562|7.150469326978026|7.149539198643566|7.104366426131306|7.067040474404429|7.011386597471953|6.804942914494698|6.783546907764774|6.729923041765912|6.676196683698821|6.627343005265917|6.5748354781791445|6.533528110558559,19|17|6|113|111|29|91|85|198|183|40|275|126|133|122|79|137|10|216|50|320|16|5|12|325|297|7|314|285|18|324|30|322|310|13|326|304|305,3,True,
13,capability,What advantage does multi-head attention provide?,13,192|207|60|129|127|2|119|68|34|23|193|211|295|96|323|48|22|222|342|4|218|191|321|51|204|223|8|310|6|317|350|21|88|9|315|314|83|139|167|53|159|203,,False,0.6942181643614507|0.68130220143444|0.6456408441849155|0.639056458097847|0.6379645370601135|0.6369391421725393|0.6324416683326813|0.6305869485908873|0.6304895019917564|0.6294380130475994|0.6279595284384734|0.6279348579358728|0.6269672360802483|0.6264035960090533|0.6250781224225025|0.624706300496589|0.6245856227860169|0.6244945274524162|0.6212888349447463|0.6182020819669258|0.617991264305499|0.6172504646692109|0.6120689974715284|0.6120369110897528|0.6117136187251954|0.611603307834539|0.611213854723257|0.6089024026089556|0.6070255593807596|0.6064941351519914|0.6056870238887447|0.6050485322298469|0.6045648732808336|0.6045053005082959|0.6043599905075844|0.6043229541715925|0.6041916762445754|0.6040970326320263|0.6039643236515044|0.6035262984594156|0.6030922977959928|0.6030141681210247,11|6|13|97|3|96|114|10|221|29|116|216|299|217|189|58|68|80|214|27|95|218|347|9|169|126|88|93|136|201|212|17|297|18|109|0|140|92|200|142|61|106,3,True,12.555315635366334|11.527780349680784|11.290588921239571|9.660600865597466|8.75613140418439|7.841452156775549|7.4764332613752815|6.719684354290584|6.501589414268031|6.220010298448473|5.8923813503649445|5.793830011817352|5.35891052657051|5.3515633986956|5.255928584597296|5.175554442023005|5.174088364763639|5.075303733609585|5.051285122299613|4.885254551717981|4.609717044561668|4.589035216872341|4.508130998576797|4.507309154688661|4.468453041096818|4.430507764421256|4.117302955690748|4.10964189945192|4.061133613823948|3.7546564986986732|3.750405811964557|3.740991192159383|3.7361932766880943|3.406813185487418|3.3901072215794796|3.3381328693309364|3.3200310536642945|3.239671208241027|3.2266545898278425|3.217904278845825|3.2044338931210445|3.15166153830122,68|96|6|11|13|97|3|114|10|221|29|116|216|299|217|189|58|80|214|27|192|207|60|129|127|2|119|34|23|193|211|295|323|48|22|222|342|4,5,False,
19,mechanism,What technique is used to mitigate data sparsity in n-gram models?,39,192|2|206|211|295|60|129|193|34|350|6|8|96|222|323|48|9|218|144|207|23|106|21|159|314|297|204|315|110|68|309|320|64|326|168|349|167|191|22|18|134|5,,False,0.7731389322394305|0.7353271150773292|0.7251778934952587|0.714872858586406|0.7126622640907792|0.7108554343467146|0.710805318302616|0.7101678005112511|0.7087311383513851|0.7083944065227575|0.7069396168856666|0.7055439025636058|0.7038102712250777|0.7033739917766805|0.7017982371820357|0.7010161089766188|0.7003237849721434|0.6999798844351749|0.6995527522651331|0.698805633292646|0.6973897125049474|0.6972590310260693|0.6963169024326408|0.6961888158367421|0.695044428598355|0.6942272568745484|0.694110826047019|0.6939352957097085|0.693487970275112|0.692717524739238|0.6923963835558798|0.6919604318578986|0.6918392676025641|0.6917856332558422|0.690441958336223|0.6904215465977349|0.6900233853873396|0.6898022335310039|0.6889865603228166|0.6880464770400861|0.6879770976857209|0.6874187352891344,39|40|38|149|127|106|156|105|214|188|198|110|41|84|115|169|154|282|133|185|137|175|59|116|51|167|102|100|107|221|48|155|92|142|195|58|61|250|177|151|216|200,1,True,22.063428414308337|13.671394080161079|12.448838457533233|10.463029193177174|10.436434113844705|9.539334182640207|8.915103501549684|8.730260507177151|8.66268776495394|8.471108686360417|8.448693860769712|8.079249980196|8.025941644731779|8.020001219040067|7.819813070093173|7.762396539185649|7.743560933008043|7.709868913405707|7.667528319343075|7.6556033173697875|7.452175827734418|7.423348659376221|7.154639820477523|7.078357262771829|7.037176066288992|7.025314725990212|6.934670496352488|6.757332610849767|6.555147631204805|6.539847089119337|6.454585682192589|6.3818260576265535|6.380114617962141|6.334964606061659|6.321466879693961|6.035532267320303|5.9850216772187075|5.889722557873531|5.784663023127797|5.7743845439781465|5.737800138526946|5.670393364705001,106|110|39|40|38|149|127|156|105|214|188|198|41|84|115|169|154|282|133|185|192|2|206|211|295|60|129|193|34|350|6|8|96|222|323|48|9|218|144|207,3,True,
21,principle,What property of embedding vectors enables semantic similarity computation?,40,192|2|350|207|34|193|6|48|323|8|21|297|31|9|204|23|206|60|314|144|295|213|315|320|85|28|159|349|218|96|22|167|326|13|106|309|307|134|18|30|5|58,,False,0.8199864633468494|0.7926137735718486|0.7864040128767217|0.7770352352956076|0.7761831946612432|0.7757623571537918|0.7742209875078018|0.7732553022008402|0.7687309624705418|0.7656685512814612|0.7650063335570333|0.7628229469223383|0.7612031992480333|0.7591663975946799|0.7574042515308321|0.7548940981798125|0.7548832151720806|0.7546602648590056|0.7543023716281458|0.7532056909158743|0.7529219458227694|0.7514458218175599|0.750853110925216|0.7506182301504011|0.7504837632729617|0.7503023031178493|0.7493561811403334|0.7489924335777071|0.7488606286939526|0.748676554049151|0.748392757839198|0.7482980675079782|0.7480301414287913|0.7465841181083429|0.7462517171833241|0.7457165455649647|0.7455014668808989|0.7446926562633017|0.7446302136034457|0.7435260977649832|0.743143334559439|0.7429653832402326,40|282|52|281|195|283|156|4|27|143|125|277|169|134|32|144|41|341|97|56|55|228|297|159|115|176|42|60|106|338|142|70|58|117|33|61|66|214|113|76|185|183,1,True,20.650477851610667|15.24737614449003|12.575138884116484|10.682423244413135|9.855911303258015|7.989658810321933|7.932395610131644|6.103816027885131|5.882671121286067|5.343867254639275|5.177352119631005|5.109245649858227|5.08089723736234|5.040432025970822|5.037813052362976|4.937173329249958|4.6793890620629135|4.658673471811794|4.624188365334245|4.561331970271341|4.413855697502042|4.262411141049725|4.109142114035933|4.033374344013892|3.896863761355598|3.867609990617157|3.8634074757727217|3.773156200165946|3.770053409338726|3.7604233840811307|3.7568303179002864|3.7348561101216156|3.720822852797775|3.694418422237447|3.664648611081018|3.6638871535543873|3.6638871535543873|3.638883118584178|3.614638263064545|3.595043887325883|3.587514549371842|3.5802934756284137,144|134|40|282|52|281|195|283|156|4|27|143|125|277|169|32|41|341|97|56|192|2|350|207|34|193|6|48|323|8|21|297|31|9|204|23|206|60|314,3,True,
22,comparative,What distinguishes pre-trained language models from early neural language models?,42,192|2|207|350|34|6|323|8|48|297|193|134|60|31|23|204|295|22|326|129|315|110|21|298|314|307|18|309|13|106|108|320|349|5|30|19|206|12|202|290|144|191,,False,0.8583862081063249|0.8200295070594231|0.8153413728431708|0.8084036480275264|0.8053258944124644|0.7978759473052656|0.7920048573596925|0.7901061545575865|0.7883777818687879|0.7875717757092212|0.7875539293401795|0.7873926255884485|0.7868459342133293|0.7860280814166436|0.7855960017906611|0.7833055130581856|0.7797471430294224|0.778602109019918|0.7784871878654143|0.7783917838881997|0.7783743001156495|0.7781155980578189|0.7770222850354654|0.775626122763544|0.7743320487542346|0.7735828177225931|0.7729308503626968|0.7725349617708586|0.7720622014021519|0.771422593395401|0.7713651953237564|0.7702508977017111|0.7700001955306763|0.7698586134603361|0.769821305418356|0.7696681640969171|0.769148980792705|0.7688631881209477|0.7685155764853828|0.7670793074876696|0.7666659910880512|0.7663432756833392,47|42|62|61|37|321|44|232|52|53|51|84|142|58|50|221|118|285|85|115|60|100|101|40|43|87|116|214|226|70|237|344|72|135|92|91|88|57|216|169|73|41,2,True,17.819353884326386|15.817534533843524|13.497787847563067|12.634589537353756|12.627510876598611|12.557554715483255|12.277873586649214|12.229205383892124|12.140705115733574|12.077076841459249|11.703121636136828|10.906294690544332|10.801613516947603|10.66245621172186|10.50486396057807|10.293010296973366|9.770017648518111|9.405986050212093|9.243595399603466|9.222168342414768|9.208915894000826|9.134504878885524|9.085525816980866|9.02059132418253|8.945192886181758|8.878864117979584|8.677783371251765|8.673205780674332|8.671557729640716|8.591261627388645|8.530253364325858|8.524752264991163|8.34498681724705|8.230974444383802|8.157548527515518|8.087429673340878|8.002285424194163|7.9307853909046155|7.9115466288852865|7.901480215972319|7.655669338214569|7.587290806343944,47|42|62|61|37|321|44|232|52|53|51|84|142|58|50|221|118|285|85|115|192|2|207|350|34|6|323|8|48|297|193|134|60|31|23|204|295|22|326|129,2,True,
23,process,What are the two stages of the pre-training and fine-tuning paradigm?,43,192|2|350|193|6|34|211|206|21|48|323|8|129|60|96|295|144|314|23|9|315|85|204|134|297|68|31|191|218|159|326|349|317|207|320|110|13|18|307|5|276|30,,False,0.7845574120414737|0.7576221606643038|0.7342461189043258|0.7303964237331155|0.7296920326099329|0.7287099513070062|0.7286910382615718|0.7268148483192333|0.7238553369670757|0.722224245903856|0.7198195869561924|0.7189913716494386|0.7178138341523166|0.7177041817168268|0.7175561752698169|0.7172655478386476|0.71571854924285|0.7153617121061704|0.715233901919311|0.7147565553738507|0.7136088056573952|0.7123192123167805|0.7115421551512201|0.7112087555131397|0.7110860214651942|0.7108118097595013|0.7104953391375439|0.7093915378050898|0.7089373841576997|0.7080456782560868|0.7079376234458766|0.7067337065674696|0.7065241001358384|0.7063742822951928|0.7059300202077364|0.7053630241446466|0.70523819780723|0.7031933959075163|0.7030510150396196|0.7027567509641288|0.7022427140323357|0.7018838825899509,42|116|117|104|107|56|169|58|84|73|198|88|135|115|66|76|142|60|53|39|51|119|57|161|138|87|93|186|203|123|185|133|61|120|92|297|279|55|141|124|50|79,,False,17.34737875553532|16.495469477014286|14.99396623025028|13.790108169767315|13.260300178652546|13.032987646005349|12.117885226613337|12.033931390038568|11.898648316055946|11.663261310496434|11.109415272080621|10.938840172033418|10.002428119641255|9.939447019897347|9.928011710524972|9.912841214008512|9.894252998879864|9.889563687146678|9.648775867679886|9.583760733611957|9.533197768844907|9.470344033261473|9.417157212155146|9.178869217140804|9.172027631000768|9.121433975019155|9.04481319072872|8.928319741470418|8.88344189821266|8.682479948183971|8.530417602009296|8.52371865135208|8.498089874365117|8.37316465098026|8.204607691275266|8.193147888799691|8.12680857236995|7.898490261807646|7.847369217849019|7.736551824613677|7.700761970023741|7.679391571539545,60|42|116|117|104|107|56|169|58|84|73|198|88|135|115|66|76|142|53|39|192|2|350|193|6|34|211|206|21|48|323|8|129|96|295|144|314|23|9,,False,
24,definition,How are large language models defined in terms of scale and architecture?,43,192|2|48|207|350|193|6|34|206|110|204|297|8|323|21|23|349|295|134|60|314|167|320|31|9|85|326|315|96|5|18|106|159|118|13|129|28|19|22|12|108|119,,False,0.8019127791477311|0.7707830448176126|0.7656911554931659|0.765181272720233|0.764036132444452|0.7579108989646206|0.752610677200684|0.7517537046648729|0.7500059920400379|0.7470295240297481|0.7446899124048362|0.7440828053852141|0.7438162849713513|0.7436796688715818|0.7421336566659769|0.7413126487413553|0.7412902606734829|0.7412073244649581|0.7390822801998609|0.7388375606103624|0.7373161051497147|0.7370835846945548|0.7365021490380378|0.7352451019945911|0.7351223600510718|0.7348586420700526|0.7318682164579111|0.7317707689280514|0.729968933086057|0.7291238010530827|0.7276425881801281|0.7274641004263181|0.7267541709998316|0.7263903730936133|0.725641936924927|0.7255939319230394|0.7254231605727159|0.7252985420972429|0.7247670866031167|0.7247153971938839|0.7244716791667372|0.7241084710224179,213|61|50|91|268|216|41|184|82|88|278|51|84|221|174|85|164|176|144|148|46|167|200|131|100|281|111|37|44|202|95|195|146|92|183|99|90|154|20|43|242|83,40,False,16.142623071253556|11.864598206498073|11.675080289179837|11.331790093156846|10.806851907967488|10.788041182992082|10.335553696048763|10.092544801546888|9.915732572467062|9.814476369622273|9.799951484361806|9.756316213146492|9.592147889850672|9.558538403526367|9.504142203725436|9.257065212385722|9.145786773180177|9.05776849262735|8.983972176498874|8.883348947106516|8.878178158825149|8.823678405352805|8.410728554670703|7.93919628178322|7.832350019384877|7.642259580085164|7.363462138282436|7.325666580991579|7.304845867647312|7.299220656320782|7.2396208441842615|7.168941237991803|7.13953663340258|7.069691767506471|6.986943920629619|6.958154000264019|6.862975670051854|6.68132540754462|6.591711547366334|6.557712760322192|6.548024406846487|6.546503838295382,85|213|61|50|91|268|216|41|184|82|88|278|51|84|221|174|164|176|144|148|192|2|48|207|350|193|6|34|206|110|204|297|8|323|21|23|349|295|134|60,,False,
